Group,Type,Question,CorrectAns,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,CorrectExplanation,IncorrectExplanation
Section 1,TMCMA,Which of the following statements about MATLAB functions is TRUE?,"1, 3",Functions can have variable number of input arguments.,Functions must return at least one output.,Functions can be nested within other functions.,Functions cannot access variables from the base workspace.,Functions can only return one output.,Functions must be defined in separate files.,,,"Functions can accept variable inputs, which is a powerful feature.",Incorrect. Functions can return multiple outputs and access base workspace variables if declared appropriately.
Section 1,TMC,"What will the following code output? A = [1, 2, 3]; A(2) = 5; disp(A);",1,"[1, 5, 3]","[5, 2, 3]","[1, 2, 5]","[2, 3, 5]",,,,,"The second element of A is changed to 5, resulting in [1, 5, 3].",Incorrect. The first element remains unchanged.
Section 1,TMCMA,Which of the following statements about MATLAB functions is TRUE?,"1, 2",Functions can have variable number of input arguments.,Functions must return at least one output.,Functions can be nested within other functions.,Functions cannot access variables from the base workspace.,Functions can only return one output.,Functions must be defined in separate files.,,,"Functions can accept variable inputs, which is a powerful feature.",Incorrect. Functions can return multiple outputs and access base workspace variables if declared appropriately.
Section 1,TMCMA,Which of the following statements about control flow in MATLAB is correct?,"1, 2",'if' statements can be nested.,'for' loops can iterate over arrays.,'while' loops cannot be used with conditions.,'switch' statements are only for numerical comparisons.,'try-catch' blocks are used for error handling.,,,"'if' statements can indeed be nested, and 'for' loops can iterate over arrays efficiently.","Incorrect. 'while' loops can be used with conditions, and 'switch' statements are versatile.",
Section 1,TMC,"What will be the output of the following code? A = [1, 2, 3]; A(3) = A(1) + A(2); disp(A);",1,"[1, 2, 3]","[1, 2, 4]","[4, 2, 3]","[1, 3, 4]",,,,,"The third element of A is updated to the sum of the first and second elements, resulting in [1, 2, 3].","Incorrect. The correct result is [1, 2, 3]."
Section 1,TMCMA,Which of the following statements about MATLAB functions is TRUE?,"1, 2",Functions can have multiple outputs.,Functions can be called without arguments.,Functions must always be defined in separate files.,Functions can only return one output.,Functions cannot be nested within other functions.,,,"Functions can return multiple outputs, and some can be called without arguments.",Incorrect. Functions can be nested and must be defined properly.,
Section 1,TMCMA,Which of the following statements about control flow in MATLAB is correct?,"1, 2",'if' statements can be nested.,'for' loops can iterate over arrays.,'while' loops cannot be used with conditions.,'switch' statements are only for numerical comparisons.,'try-catch' blocks are used for error handling.,,,"'if' statements can indeed be nested, and 'for' loops can iterate over arrays efficiently.","Incorrect. 'while' loops can be used with conditions, and 'switch' statements are versatile.",
Section 1,TMC,"What will be the output of the following code? A = [1, 2, 3]; A(1) = A(1) + A(2); disp(A);",1,"[3, 2, 3]","[1, 2, 5]","[1, 3, 3]","[1, 2, 2]",,,,,"The first element of A is updated to 3, resulting in [3, 2, 3].",Incorrect. The first element is updated to the sum of itself and A(2).
Section 1,TMCMA,Which of the following statements about MATLAB functions is TRUE?,"1, 3",Functions can have default input arguments.,Functions must always return at least one output.,Functions can be nested within other functions.,Functions cannot access variables from the base workspace.,Functions can only return one output.,Functions must be defined in separate files.,,,"Functions can accept default arguments, and some can be nested, enhancing modularity.",Incorrect. Functions can access variables from the workspace if declared properly.
Section 1,TMCMA,Which of the following statements about control flow in MATLAB is correct?,"1, 2",'if' statements can be nested.,'for' loops can iterate over arrays.,'while' loops cannot be used with conditions.,'switch' statements are only for numerical comparisons.,'try-catch' blocks are used for error handling.,,,"'if' statements can indeed be nested, and 'for' loops can iterate over arrays efficiently.","Incorrect. 'while' loops can be used with conditions, and 'switch' statements are versatile.",
Section 1,TMC,"What will be the output of the following code? A = [1, 2, 3]; A(2) = 10; disp(A);",1,"[1, 10, 3]","[10, 2, 3]","[1, 2, 10]","[2, 10, 3]",,,,,"The second element of A is updated to 10, resulting in [1, 10, 3].",Incorrect. The first and third elements remain unchanged.
Section 1,TMCMA,Which of the following statements about MATLAB functions is TRUE?,"1, 2",Functions can have variable number of input arguments.,Functions must always return at least one output.,Functions can be nested within other functions.,Functions cannot access variables from the base workspace.,Functions can only return one output.,Functions must be defined in separate files.,,,"Functions can accept variable inputs, which enhances flexibility, and some can be nested.",Incorrect. Functions can access variables from the workspace if declared properly.
Section 1,TMCMA,Which of the following statements about control flow in MATLAB is correct?,"1, 2",'if' statements can be nested.,'for' loops can iterate over arrays.,'while' loops cannot be used with conditions.,'switch' statements are only for numerical comparisons.,'try-catch' blocks are used for error handling.,,,"'if' statements can indeed be nested, and 'for' loops can iterate over arrays efficiently.","Incorrect. 'while' loops can be used with conditions, and 'switch' statements are versatile.",
Section 1,TMC,"What will be the output of the following code? A = [1, 2, 3]; A(3) = A(1) + A(2); disp(A);",1,"[1, 2, 3]","[1, 2, 4]","[1, 2, 5]","[5, 2, 3]",,,,,"The third element of A is updated to the sum of the first and second elements, resulting in [1, 2, 4].","Incorrect. The correct result is [1, 2, 4]."
Section 1,TMCMA,Which of the following statements about MATLAB functions is TRUE?,"1, 2",Functions can have variable number of input arguments.,Functions must always return at least one output.,Functions can be nested within other functions.,Functions cannot access variables from the base workspace.,Functions can only return one output.,Functions must be defined in separate files.,,,"Functions can accept variable inputs, which enhances flexibility, and some can be nested, improving modularity.",Incorrect. Functions can access variables from the workspace if declared properly.
Section 1,TMCMA,Which of the following statements about control flow in MATLAB is correct?,"1, 2",'if' statements can be nested.,'for' loops can iterate over arrays.,'while' loops cannot be used with conditions.,'switch' statements are only for numerical comparisons.,'try-catch' blocks are used for error handling.,,,"'if' statements can indeed be nested, and 'for' loops can iterate over arrays effectively.","Incorrect. 'while' loops can be used with conditions, and 'switch' statements are versatile.",
Section 1,TMC,You need to read data from a CSV file named 'data.csv' containing mixed data types (numeric and string). Which combination of functions provides the MOST robust way to read all the data including handling missing values represented as 'NaN' or empty strings?,1,"`T = readtable('data.csv','TreatAsEmpty',{'NaN',''});`",`data = csvread('data.csv');`,`data = importdata('data.csv');`,"`fid = fopen('data.csv'); data = textscan(fid, '%f %s', 'Delimiter', ','); fclose(fid);`",,,,,"`readtable` with `TreatAsEmpty` offers the most flexible and robust approach, correctly handling mixed data types and missing values.","`csvread` only handles numeric data, `importdata` can be inconsistent, and `textscan` requires careful formatting specifications."
Section 1,TMC,"You have a large text file with comma-separated values, where some rows have missing values. You want to read this data into a MATLAB table while handling the missing data gracefully. What is the BEST approach?",1,Use `readtable` with appropriate options to handle missing data.,Use `textscan` and manually handle missing values.,Use `csvread` and replace missing values with NaN.,Use `importdata` and manually handle missing values.,,,,,`readtable` provides the most convenient and robust way to handle missing data directly during import.,"Other options require more manual handling of missing values, which is less efficient."
Section 1,TMC,You have a data file where the values are separated by varying numbers of spaces. Which MATLAB function would be MOST suitable for reading this data efficiently?,3,`csvread`,`xlsread`,`textscan` with appropriate regular expressions.,`load`,,,,,"`textscan` allows you to specify a regular expression as a delimiter, making it suitable for handling varying numbers of spaces.",Other functions are less flexible.
Section 1,TTF,"The `save` command, by default, saves data in a human-readable format.",,1,"The `save` command, by default, saves data in binary `.mat` format, which is not human-readable. To save in a human-readable format (like ASCII), you must specify the `-ascii` flag.",,,,,,,The default format is binary.,
Section 1,TMC,"You have a text file containing data that includes both numeric values and text strings. Some of the numeric values are represented with different decimal separators (e.g., some use commas, others use periods). What is the MOST reliable way to import this data into MATLAB and ensure all numeric values are correctly interpreted?",4,Use `csvread` after manually replacing all commas with periods in the file.,Use `importdata` and manually parse the data to handle different decimal separators.,Use `textscan` with a generic format specifier (`%s`) and then convert the strings to numbers.,"Use `readtable` with the 'ReadVariableNames' option set to true, and specify the 'DecimalSeparator' option.",,,,,"`readtable` combined with `DecimalSeparator` allows direct specification of how decimal values should be parsed, correctly handling different separators.",The other methods are less direct and require more manual parsing and string manipulation.
Section 1,TMC,"You need to load data from a `.mat` file. However, you only want to load specific variables from the file and not all of them. Which command allows you to achieve this?",3,"`load('data.mat', 'all')`",`data = matfile('data.mat');`,"`load('data.mat', 'var1', 'var2')`",`readmatrix('data.mat')`,,,,,You can specify the names of the variables to load as arguments to the `load` command.,That's the correct `load` command syntax.
